Unnamed: 0,Error,Épocas,Clase
130,0.2927749752998352,6,"Train error on d1: 0, d2: 0.5"
131,0.3112000226974487,6,"Validation error on d1: 0, d2: 0.5"
132,0.2700499892234802,7,"Train error on d1: 0, d2: 0.5"
133,0.3033999800682068,7,"Validation error on d1: 0, d2: 0.5"
134,0.2539250254631042,8,"Train error on d1: 0, d2: 0.5"
135,0.3069999814033508,8,"Validation error on d1: 0, d2: 0.5"
136,0.2389500141143798,9,"Train error on d1: 0, d2: 0.5"
137,0.3047000169754028,9,"Validation error on d1: 0, d2: 0.5"
138,0.224025011062622,10,"Train error on d1: 0, d2: 0.5"
139,0.2979000210762024,10,"Validation error on d1: 0, d2: 0.5"
140,0.2071999907493591,11,"Train error on d1: 0, d2: 0.5"
141,0.2878000140190124,11,"Validation error on d1: 0, d2: 0.5"
142,0.1947749853134155,12,"Train error on d1: 0, d2: 0.5"
143,0.2875000238418579,12,"Validation error on d1: 0, d2: 0.5"
144,0.1804749965667724,13,"Train error on d1: 0, d2: 0.5"
145,0.3000000119209289,13,"Validation error on d1: 0, d2: 0.5"
146,0.1711249947547912,14,"Train error on d1: 0, d2: 0.5"
147,0.2922999858856201,14,"Validation error on d1: 0, d2: 0.5"
148,0.1622499823570251,15,"Train error on d1: 0, d2: 0.5"
149,0.3019000291824341,15,"Validation error on d1: 0, d2: 0.5"
150,0.1488999724388122,16,"Train error on d1: 0, d2: 0.5"
151,0.2965999841690063,16,"Validation error on d1: 0, d2: 0.5"
152,0.1423500180244445,17,"Train error on d1: 0, d2: 0.5"
153,0.2928000092506408,17,"Validation error on d1: 0, d2: 0.5"
154,0.1355000138282776,18,"Train error on d1: 0, d2: 0.5"
155,0.2925000190734863,18,"Validation error on d1: 0, d2: 0.5"
156,0.1241250038146972,19,"Train error on d1: 0, d2: 0.5"
157,0.2910000085830688,19,"Validation error on d1: 0, d2: 0.5"
158,0.120074987411499,20,"Train error on d1: 0, d2: 0.5"
159,0.3021000027656555,20,"Validation error on d1: 0, d2: 0.5"
160,0.1120250225067138,21,"Train error on d1: 0, d2: 0.5"
161,0.3044000267982483,21,"Validation error on d1: 0, d2: 0.5"
162,0.1067000031471252,22,"Train error on d1: 0, d2: 0.5"
163,0.2939000129699707,22,"Validation error on d1: 0, d2: 0.5"
164,0.1052749752998352,23,"Train error on d1: 0, d2: 0.5"
165,0.3001999855041504,23,"Validation error on d1: 0, d2: 0.5"
166,0.0975000262260437,24,"Train error on d1: 0, d2: 0.5"
167,0.2997000217437744,24,"Validation error on d1: 0, d2: 0.5"
168,0.0946999788284301,25,"Train error on d1: 0, d2: 0.5"
169,0.2911999821662903,25,"Validation error on d1: 0, d2: 0.5"
170,0.0897499918937683,26,"Train error on d1: 0, d2: 0.5"
171,0.2894999980926513,26,"Validation error on d1: 0, d2: 0.5"
172,0.0850250124931335,27,"Train error on d1: 0, d2: 0.5"
173,0.3012999892234802,27,"Validation error on d1: 0, d2: 0.5"
