Weight,Épocas
12.952789399175682,5160
12.972353371284886,5180
12.96056902977282,5200
13.022097623302463,5220
13.027625300330438,5240
13.010938191508963,5260
13.021433193241817,5280
12.994321057609003,5300
13.018675818412845,5320
13.021614654843226,5340
13.05373782259555,5360
13.01343656817555,5380
13.019115350511147,5400
13.031175792338486,5420
13.025112331569234,5440
13.107399637691074,5460
13.04897969430911,5480
13.03087935926761,5500
13.043038370459666,5520
13.023361561943076,5540
13.078962507468733,5560
13.054416526098777,5580
13.082822939417827,5600
13.156276765617465,5620
13.129506269965104,5640
13.139755552182368,5660
13.154562602699489,5680
13.141002174308888,5700
13.166899263899536,5720
13.128900710488061,5740
13.123589822427785,5760
13.14107523539653,5780
13.143882459413167,5800
13.127585737504472,5820
13.088666146679401,5840
13.134425833826882,5860
