Error,Épocas,Clase
0.3375,21800,Train error
0.4,21800, Validation error
0.30000000000000004,21800,Test error
0.3375,22000,Train error
0.4,22000, Validation error
0.30000000000000004,22000,Test error
0.3125,22200,Train error
0.44999999999999996,22200, Validation error
0.31999999999999995,22200,Test error
0.3125,22400,Train error
0.44999999999999996,22400, Validation error
0.31999999999999995,22400,Test error
0.3125,22600,Train error
0.44999999999999996,22600, Validation error
0.31999999999999995,22600,Test error
0.3125,22800,Train error
0.44999999999999996,22800, Validation error
0.31999999999999995,22800,Test error
0.3375,23000,Train error
0.4,23000, Validation error
0.30000000000000004,23000,Test error
0.3375,23200,Train error
0.4,23200, Validation error
0.30000000000000004,23200,Test error
0.3125,23400,Train error
0.44999999999999996,23400, Validation error
0.31999999999999995,23400,Test error
0.3375,23600,Train error
0.4,23600, Validation error
0.30000000000000004,23600,Test error
0.3125,23800,Train error
0.44999999999999996,23800, Validation error
0.31999999999999995,23800,Test error
0.3375,24000,Train error
0.4,24000, Validation error
0.30000000000000004,24000,Test error
0.3375,24200,Train error
0.4,24200, Validation error
0.30000000000000004,24200,Test error
0.3125,24400,Train error
0.44999999999999996,24400, Validation error
0.31999999999999995,24400,Test error
0.3375,24600,Train error
0.4,24600, Validation error
0.30000000000000004,24600,Test error
0.3125,24800,Train error
0.44999999999999996,24800, Validation error
0.31999999999999995,24800,Test error
0.3375,25000,Train error
0.4,25000, Validation error
0.30000000000000004,25000,Test error
0.3375,25200,Train error
0.4,25200, Validation error
0.30000000000000004,25200,Test error
0.3125,25400,Train error
0.44999999999999996,25400, Validation error
0.31999999999999995,25400,Test error
0.3375,25600,Train error
0.4,25600, Validation error
0.30000000000000004,25600,Test error
0.3375,25800,Train error
0.4,25800, Validation error
0.30000000000000004,25800,Test error
0.3375,26000,Train error
0.4,26000, Validation error
0.30000000000000004,26000,Test error
0.3375,26200,Train error
0.4,26200, Validation error
0.30000000000000004,26200,Test error
0.3125,26400,Train error
0.44999999999999996,26400, Validation error
0.31999999999999995,26400,Test error
0.3375,26600,Train error
0.4,26600, Validation error
0.30000000000000004,26600,Test error
0.3375,26800,Train error
0.4,26800, Validation error
0.30000000000000004,26800,Test error
0.3125,27000,Train error
0.44999999999999996,27000, Validation error
0.31999999999999995,27000,Test error
0.3125,27200,Train error
0.44999999999999996,27200, Validation error
0.31999999999999995,27200,Test error
0.3125,27400,Train error
0.44999999999999996,27400, Validation error
0.31999999999999995,27400,Test error
0.3125,27600,Train error
0.44999999999999996,27600, Validation error
0.31999999999999995,27600,Test error
0.3125,27800,Train error
0.44999999999999996,27800, Validation error
0.31999999999999995,27800,Test error
0.3125,28000,Train error
0.44999999999999996,28000, Validation error
0.31999999999999995,28000,Test error
0.3375,28200,Train error
0.4,28200, Validation error
0.30000000000000004,28200,Test error
0.3125,28400,Train error
0.44999999999999996,28400, Validation error
0.31999999999999995,28400,Test error
0.3375,28600,Train error
0.4,28600, Validation error
0.30000000000000004,28600,Test error
0.3125,28800,Train error
0.44999999999999996,28800, Validation error
0.31999999999999995,28800,Test error
0.3125,29000,Train error
0.44999999999999996,29000, Validation error
0.31999999999999995,29000,Test error
0.3375,29200,Train error
0.4,29200, Validation error
0.30000000000000004,29200,Test error
0.3125,29400,Train error
0.44999999999999996,29400, Validation error
0.31999999999999995,29400,Test error
0.3125,29600,Train error
0.44999999999999996,29600, Validation error
0.31999999999999995,29600,Test error
0.3125,29800,Train error
0.44999999999999996,29800, Validation error
0.31999999999999995,29800,Test error
0.3125,30000,Train error
0.44999999999999996,30000, Validation error
0.31999999999999995,30000,Test error
0.3125,30200,Train error
0.44999999999999996,30200, Validation error
0.31999999999999995,30200,Test error
0.3125,30400,Train error
0.44999999999999996,30400, Validation error
0.31999999999999995,30400,Test error
0.3375,30600,Train error
0.4,30600, Validation error
0.30000000000000004,30600,Test error
0.3375,30800,Train error
0.4,30800, Validation error
0.30000000000000004,30800,Test error
0.3125,31000,Train error
0.44999999999999996,31000, Validation error
0.31999999999999995,31000,Test error
0.3125,31200,Train error
0.44999999999999996,31200, Validation error
0.31999999999999995,31200,Test error
0.3375,31400,Train error
0.4,31400, Validation error
0.30000000000000004,31400,Test error
0.3375,31600,Train error
0.4,31600, Validation error
0.30000000000000004,31600,Test error
0.3375,31800,Train error
0.4,31800, Validation error
0.30000000000000004,31800,Test error
0.3375,32000,Train error
0.4,32000, Validation error
0.30000000000000004,32000,Test error
0.3375,32200,Train error
0.4,32200, Validation error
0.30000000000000004,32200,Test error
0.3375,32400,Train error
0.4,32400, Validation error
0.30000000000000004,32400,Test error
0.3125,32600,Train error
0.44999999999999996,32600, Validation error
0.31999999999999995,32600,Test error
0.3375,32800,Train error
0.4,32800, Validation error
0.30000000000000004,32800,Test error
0.3125,33000,Train error
0.44999999999999996,33000, Validation error
0.31999999999999995,33000,Test error
0.3375,33200,Train error
0.4,33200, Validation error
0.30000000000000004,33200,Test error
0.3125,33400,Train error
0.44999999999999996,33400, Validation error
0.31999999999999995,33400,Test error
0.3125,33600,Train error
0.44999999999999996,33600, Validation error
0.31999999999999995,33600,Test error
0.3375,33800,Train error
0.4,33800, Validation error
0.30000000000000004,33800,Test error
0.3125,34000,Train error
0.44999999999999996,34000, Validation error
0.31999999999999995,34000,Test error
0.3375,34200,Train error
